company,wheel-base,engine-type,num-of-cylinders,horsepower,average-mileage,price
alfa-romero,88.6,dohc,four,111,21,13495
alfa-romero,88.6,dohc,four,111,21,16500
alfa-romero,94.5,ohcv,six,154,19,16500
audi,99.8,ohc,four,102,24,13950
audi,99.4,ohc,five,115,18,17450
audi,99.8,ohc,five,110,19,15250
audi,105.8,ohc,five,110,19,18920
bmw,101.2,ohc,four,101,23,16430
bmw,101.2,ohc,four,101,23,16925
bmw,101.2,ohc,six,121,21,20970
bmw,103.5,ohc,six,182,16,30760
bmw,103.5,ohc,six,182,16,41315
bmw,110,ohc,six,182,15,36880
chevrolet,88.4,l,three,48,47,5151
chevrolet,94.5,ohc,four,70,38,6295
chevrolet,94.5,ohc,four,70,38,6575
dodge,93.7,ohc,four,68,31,6377
dodge,93.7,ohc,four,68,31,6229
honda,96.5,ohc,four,76,30,7295
honda,96.5,ohc,four,101,24,12945
honda,96.5,ohc,four,100,25,10345
isuzu,94.3,ohc,four,78,24,6785
isuzu,94.5,ohc,four,70,38,
isuzu,94.5,ohc,four,70,38,
jaguar,113,dohc,six,176,15,32250
jaguar,113,dohc,six,176,15,35550
jaguar,102,ohcv,twelve,262,13,36000
mazda,93.1,ohc,four,68,30,5195
mazda,93.1,ohc,four,68,31,6095
mazda,93.1,ohc,four,68,31,6795
mazda,95.3,rotor,two,101,17,11845
mazda,104.9,ohc,four,72,31,18344
mercedes-benz,110,ohc,five,123,22,25552
mercedes-benz,110,ohc,five,123,22,28248
mercedes-benz,120.9,ohcv,eight,184,14,40960
mercedes-benz,112,ohcv,eight,184,14,45400
mitsubishi,93.7,ohc,four,68,37,5389
mitsubishi,93.7,ohc,four,68,31,6189
mitsubishi,96.3,ohc,four,88,25,6989
mitsubishi,96.3,ohc,four,88,25,8189
nissan,94.5,ohc,four,55,45,7099
nissan,94.5,ohc,four,69,31,6649
nissan,94.5,ohc,four,69,31,6849
nissan,94.5,ohc,four,69,31,7349
nissan,100.4,ohcv,six,152,19,13499
porsche,89.5,ohcf,six,207,17,34028
porsche,89.5,ohcf,six,207,17,37028
porsche,98.4,dohcv,eight,288,17,
toyota,95.7,ohc,four,62,35,5348
toyota,95.7,ohc,four,62,31,6338
toyota,95.7,ohc,four,62,31,6488
toyota,95.7,ohc,four,62,31,6918
toyota,95.7,ohc,four,62,27,7898
toyota,95.7,ohc,four,62,27,8778
toyota,104.5,dohc,six,156,19,15750
volkswagen,97.3,ohc,four,52,37,7775
volkswagen,97.3,ohc,four,85,27,7975
volkswagen,97.3,ohc,four,52,37,7995
volkswagen,97.3,ohc,four,100,26,9995
volvo,104.3,ohc,four,114,23,12940
volvo,104.3,ohc,four,114,23,13415
